"Hash","SizeBytes","FileCount","TotalFootprintBytes"
"C52BB095ED19FF2C707AD4FE47D39EA18DFA609529622C5DCB4E108E03291BAE","522","2","1044"
"8A05E87FB1E248EDBF34B3E69E6E83612960135B73A6EC8FB0F15318FD50395F","98","2","196"
"2D587C0B34266BA16C36020E8B137ECCC9C901F5E3CE18E973A8A45E1E1C251C","5896","4","23584"
"98F91170F8BFD754BEBC9BC8BABF26EA16BA4CF980F7ABB30DEBE6D89F24F17F","14356","2","28712"
"EF63166689B2A375CF341D0D5426E5E4E55213696C26CCF3C0A642437D033C8C","395","2","790"
"C4D277C5FE4C01ABAE91BB481F02D647339239E9A74373744DBB5D7EC30DB468","1438","3","4314"
"7729AAB84A7B6801F36201BE290D1AD6B824F8AEC476064F69C2890E4AD460F0","12038","2","24076"
"3E15AF549ECC74D8691982D571168FD4B0E38B494C2CBB3EDCFB8F97D4036AC6","12569","6","75414"
"C76A466E47FFC00138046424FA3B6B8725017A97E6D2DD022564F6834EBFE364","152","2","304"
"C812ECA4B0DEE2317CB446124CB27AE8E5B993C8FDD0144886B629EF6EF53FC1","1057","3","3171"
"AF48BB4FAD5BF9144FAD24984351212C0C99B1D9BF2B2D26E70A09A17104C0D0","3472","2","6944"
"EBE67A19ABD8CF2A17FF03A59121442117FC7B2C7D8B426FBE2BB7616F61D6F1","9724","2","19448"
"B7050ADBCB6F9DF42B24F8F8C9AC168C637D77708EBD1ACDB35CE9DEFA0D8B29","1180","2","2360"
"0DE7FC83F40773105AF2D59237A2EAD674DBC76B31237DDD5787671082FC4270","753","3","2259"
"50F89D57AEA71602E3A022387375F1CEA06F4263C992BE7D7EE0F8DE20972015","76","2","152"
"9E7A521348E7C34DCD2079632231B379FBF7DE11794370C14EA043C5F174CD92","122","2","244"
"B8778B155BFDE5A28B023A558753C0FA058A52BB9DE35C343C250BE1BBCDEDAB","1079","2","2158"
"29A106E642AFA19962DC0E33CFD019293B450A8B5C906041CFD13F649384829F","2088","2","4176"
"E2B2DE15825C35CD3A0163FBE420D1928DFD28A87DB24AB0B8DE84150D921C2F","804","2","1608"
"22A7C44628D8AC12C500B6C0DFE2E0B99BDF0BCFCD97BE1FBB672A09529E4022","113","2","226"
"B3547893F24F59D0A644C52F55901B15A3FA1A115BC5EA9A582911469B9348B7","771","5","3855"
"6F389898085F6035C35D585F7A37DF342B709BF428849DC356810B873354DE98","653","2","1306"
"12440C84957C1990EA2D5E33DC0091722DC1DC1585C6D20E0C780E568FFA9D30","3293","2","6586"
"B6D8703626BD2B9542F106229F603591A6777CD37160B435B37F14537D47B416","64","2","128"
"8DBF7E71A9292BE180E3469A6B7A164171D3C39DEC79E5DBC4AA1C9F09509FAF","315","3","945"
"1040CE53429624C0F7A0F7C9000B3952C47FDC1CB2854A4C772EF49CD2E5B37E","664","2","1328"
"27AF6DE782C53C57C4A8F111A81CD26B8D68C896C2DCD83E27DA4C73234CE16B","6375","5","31875"
"9189F1514FE7D3F598ACEF480F1623282CD3745575139451641A18AC5DCBE2C4","15963","2","31926"
"8C4E6173AF279B6B667DA19B09C7237CE8A51C3DC4EF9ADB0ABF18887C91958A","609","2","1218"
"FE015C626E1C962CDD3E785AB901A77586125DB177C9526C8599E3B6CB57D8DF","355","6","2130"
"2E4E35113968F1CB885BDB6A39C79619889805E35705F3451817037F18541C0B","3203","2","6406"
"A959B47734335AC1B870AED5973F6C74E49EA079F40236505B8F181D6CD4D4EF","9544","2","19088"
"1E9A4799D65F496B3EF88500E4FE264DB77D99DB4C58D30ADF36839F4A250D9D","116851","2","233702"
"EBA48937D51465000BBB04A01203109AA9BA4A65A9CE308505C7BD569D5EE1F6","139","2","278"
"19B3D0C212D241C237F79009B4CD0051E54971747FD89DC70A74F874D1192534","235","2","470"
"4E4609C717B04B8B0DB5F6E65F6FFD484DD3C0F8AC1BD89DADC460B1F5AA2BB6","1765","2","3530"
"201C10555CF3A16584966D235C03815BC8192B96230EF66B4A3F0EE33EFD261D","966","3","2898"
"81AB7F1B5D62703318878F5178CE165959AD7B735A91D5159A4466A868A87028","760","2","1520"
"4815C94A9CA1B2A0F7397EEBAE61B15349B56737046EDC19D6E284CDF267B0FC","9448","2","18896"
"44191656D296391E0EC97E32F5385F0D02B6F2992694082D22EA04BA0F66F9E4","1058","3","3174"
"3C0BB54AA431FAC2A9B0A1C26562E465E4B540D20CB40E5400D9C2D01F0D9DFD","7605","2","15210"
"9040DCF5C42DA4D429269BE3413226DC32A9A97F57F6F665A27E12C88010F0BF","97","2","194"
"B93F6D0B7D7AE17C159D80DC87D583C4432DBA330B3094BA85D8C33D12EB7694","13365","3","40095"
"34ADE221BF6B5340E6F3195D0CE36EAEC07BC773D168B40ED9F4AB8EDC54AE2D","7891","5","39455"
"1664BA7F574D1D005BF4DD6841C70FF4F8F0CB259BB09C5CA01F42503570D64B","1592","3","4776"
"7B165FA1F6116D0CD845750FF3036E98D351FBCC66B77C64CCF8EDBF638AA420","15515","2","31030"
"3CDB683970A8E4B64EE06AAAFEFF93481FB6A0214E9412E9B990938FCEF902F8","324","2","648"
"FED9CA2A31050232C88AD1653DC1625DABB358A5C0E5D444CEE7E84BFD103FA7","1624","2","3248"
"549607C068AA765BE6763F6856F60F295D285ADAB5BD164A666D88D5EBBDFA92","1122","2","2244"
"69363CD7A584222589074B423EB79C612761546AC8B474F8B8B4ABBC342B2863","1734","2","3468"
"5061B26DFE94FA72A419EAE9A0AD07D04892B96C4AA393D4757235F31DB1D00A","1340","2","2680"
"228FEBBE5F9A5B91EB19263329943D0D1B56D9262E78BF62EE8C0BB2D709A473","5659","18","101862"
"12C9629A28DBEC3CC9A7BFA683E26BE0DB6251E5546A47119AC7128590E04EA2","621","2","1242"
"C81DE0AA6E21764999520BAD91685435B9041DA2961A936C58A203B75E700CAA","94","2","188"
"7284112D072270C1114E5D106730C62034FB4344FF02D9EBA27BA276FFB565D9","103","2","206"
"6A81CD2BEF5257583A2BF6029686468C94234D0D6E96C99EC1944D532CD03795","534682","2","1069364"
"00500D27587C6BC45D2039B43C8E4BEFD3C040D6462DABBA025DDB56CD7218BD","1195","3","3585"
"E5A0F29C256C3FDD507ED9D9971102814BD1B0A7DB8F1808C4BFB54AD5522F5F","411","2","822"
"40CD35C95E9CF22CFA5BD84E96408B6FCBCA55295F4FF822390ABB11AFBC3DCA","1065","2","2130"
"C3569A7B3D280706694129E1BA9AD03A31B7E0739A2FA1E07DE26695AC8F0A42","94","2","188"
"3F1DB8BCFE48FCBDFEE7535911BA49EF617BC20BA012A2005370260DFD4F2AA7","25638","12","307656"
"E93154BA14FB133E0F4E1292EE334288E8E858783E4855AC726FFF463A32D0E4","189","2","378"
"752560D1D1DE753F70D503B617502F5A87A5E3F87CC26B984B882E11A2FEE4A9","502","2","1004"
"8A01244EECF5BB6B3FBE450DA292CD7ECB23CED9C73AF65817E1A2010F606343","98","2","196"
"B73A9884E6566F11892FE8D2C42000170109E9A2EBB47E9FEE80FA8E040AAA5A","116","3","348"
"262F6BEA39BB3ECF6809287403648721FE5222EA71F92600DA639C5768433928","558","6","3348"
"56D75619D9959CABDD0B79E97BCFE7476369321F8DDFD723862BDAE9FFEDDC27","384","6","2304"
"F5144B57A017760EF277FE7CDEB1707AF63498721918B80650824AB23B75D791","104","5","520"
"1696772655EEAC231F5891C11810E504AED06AC1C80C2A828872A5141FB5FB60","133","2","266"
"FCAA63591277088A52F3D2B781700CC46A1381E3AF02010543E06578EC448AE8","3700","2","7400"
"1484EC3BD0264AF18BF05A1F018A442B0DF0EB486595506A2309865319793E42","772","2","1544"
"784315B6959C85459EAB77F51776158CC381D7E7D77B919FF7C4935F088A7C5C","24848","2","49696"
"C4FC9E28C718A858D752F8B53586E44762A6014D15C05A43EAD8758A9807B197","10041","3","30123"
"38015FC7DE840E56D064DE1DB3EEF50576C6988539B62BA1ACE437EBF7226277","1018","4","4072"
